height,Date,nonce,adder,difficulty,shift,Merit6Gap,Gapstart,
141,21-10-2014,50,589267,17.27652175,20,17.3384103314,102199850211092844107612239841520161478901554301333777086689796506755424621384236499,
142,21-10-2014,195,874321,17.28551622,20,17.8141343396,61913786305816346977818663162840378970991496829074846671989497816910239661936170833,
143,21-10-2014,14,881243,17.29067933,20,18.0290773448,114116614743773140939725341427816661636164047716736200605551944333367201909040837211,
144,21-10-2014,62,261201,17.29942170,20,17.4449613330,79572698429650265796908599378575634084209748559662451540352978388910011065841220689,
145,21-10-2014,113,997403,17.31087167,20,18.1619533474,117871255150919585023549999289253598405985129991981346770118390832077054280152856603,
146,21-10-2014,7,731989,17.31678624,20,18.7978893588,78499836182124742593291197880905424302166023087184454271473539847549104198991424341,
147,21-10-2014,6,279261,17.32777612,20,19.1350513660,117053091351101486184558349482283597081412598662272142895782361314563088350799217373,
148,21-10-2014,152,681405,17.34305746,20,18.0402393450,113267735654172890995760818517198850708228356961313422790007483319546362879878522301,
149,21-10-2014,366,76813,17.34852511,20,17.6070143360,75462938776640017293228156485581984592016658408116019262068785667717857184914156557,
150,21-10-2014,133,959685,17.35273921,20,17.4053053328,109582413272581169825790405998718089870322837738826994040659139695009272683828257989,
151,21-10-2014,207,255455,17.35989773,20,17.8167823406,105497293629336598806798623802949283455771359516987229839213677286730534361992783327,
152,21-10-2014,518,962333,17.36581229,20,17.4080123330,119322096194492665433102093032183504247083602853971882514686765054652243302640693021,
153,21-10-2014,177,947043,17.37281135,20,18.8189373600,119973287132046274483452397475860570001969782677923351603028961981144906280852157283,
154,21-10-2014,15,865541,17.37787800,20,18.0624673448,80132965179933953563242514504604450488491732111910650945047473681122734296141739269,
155,21-10-2014,192,205241,17.38616028,20,18.3117253500,101999357495043824562378714930778958048612578803635823265752893494699399412117086649,
156,21-10-2014,3,885511,17.39271665,20,17.6006453360,80858621606538522062477628755900188998196893363604309493409913599112009583517598471,
157,21-10-2014,141,712863,17.40600258,20,17.5372963350,91110398475937164189229884159965235010343169604763056045595727360045141490711322783,
158,21-10-2014,60,762103,17.40920954,20,18.8041953586,66203255831479836378969908699070719363646465354769328273496896411123451115780940023,
159,21-10-2014,74,434553,17.41978786,20,18.2029733480,106501515954858749165178633990282202248548556669778003037076631861884192213854232953,
160,21-10-2014,46,287205,17.42457866,20,17.5735363360,108546946907896559899460983630200273678908773744189232789892033969341348427991376357,
161,21-10-2014,378,12397,17.43478468,20,19.3822933702,89092483186117498156400653804056126524111544858601824651730225972049790188220592237,
162,21-10-2014,471,553659,17.44035935,20,17.7948523400,95306757461682352577958202461602136657897053168947124068153065829287540564545794747,
163,21-10-2014,169,3659,17.44306696,20,17.8271013408,105659371372305476578721660751619197984307241179488443974260958282416010912629526091,
164,21-10-2014,178,262055,17.44813361,20,17.9795893438,110767352546047559346682166574733303199533060436826013720929521154903572396988694439,
165,21-10-2014,56,607347,17.45283663,20,18.0543323452,108989130355716098991929973820803510513975055653963064551809308001458854629385782387,
166,21-10-2014,85,174375,17.46541036,20,17.7958473402,105509255600961087419574690542922816612478773748534236646463475629343494927503501607,
167,21-10-2014,274,442139,17.47348144,20,18.3843963510,82548410110275177742130539887943333928788947393513455364457621653738476756127891227,
