Gap,C??,Merit6,Gapcoin,Date,Digits,Gapstart,
3432,C??,17.959669,Gapcoin,21-10-2014,83,98046579113099691702756275772225103509824927485237024957475622968562740733784023767,
3696,C??,19.338636,Gapcoin,21-10-2014,84,100543663786895749664838877205202721896280417460489841489791265345601750191586711417,
3538,C??,18.550024,Gapcoin,21-10-2014,83,67905533994640153483355675968397143185687276457920063282437028366797600032230884683,
3610,C??,18.892073,Gapcoin,21-10-2014,83,97128583051438627007365796392049821511174514968891388962991496502180600173877566273,
3466,C??,18.141281,Gapcoin,21-10-2014,83,94308312161819284562825012774050628990971042314286248250583228809028326493639911921,
3488,C??,18.247367,Gapcoin,21-10-2014,84,103696048593747199328909492546026857425363920532618175557983472005970162957725084799,
3906,C??,20.418472,Gapcoin,21-10-2014,84,120058060226446047771769022579575643707338735812981066784254621686062646772617359967,
3772,C??,19.755316,Gapcoin,21-10-2014,83,83642625290658264120019649276029172326228562038038255697595844901155902253055865989,
3540,C??,18.517481,Gapcoin,21-10-2014,84,105774515145172766599020637279076075729942371343842982318665306769242214020642642517,
3780,C??,19.830040,Gapcoin,21-10-2014,83,60976496696126015084983682125714168391241601309441410946339380441527602963088968213,
3806,C??,19.948929,Gapcoin,21-10-2014,83,72081080501716315610620158235553578602964266836085702622054597430017228905509827361,
3542,C??,18.514820,Gapcoin,21-10-2014,84,121123957147731205274605623524252294888404523886453498431700604435223094432415432619,
3566,C??,18.646230,Gapcoin,21-10-2014,84,113942792770710480537268248801596872115698653065660301854553369620879153899109977253,
3708,C??,19.385169,Gapcoin,21-10-2014,84,118020229948190977134842289515458591789663239053615969047315222218851468326314300031,
3530,C??,18.490514,Gapcoin,21-10-2014,83,81393847446106191790410691008085164083550414568697395529437410027756153765701322317,
3720,C??,19.466843,Gapcoin,21-10-2014,83,97979964866499739666457048239889658110487345378116126852370597103356445764805896269,
3522,C??,18.430735,Gapcoin,21-10-2014,83,97948859953684149038643215310891005595682746462305411331341840035412146214883450587,
3466,C??,18.136762,Gapcoin,21-10-2014,83,98906431371097761499263914705736582812824306472634587907207832675562784242277050137,
3546,C??,18.541766,Gapcoin,21-10-2014,84,113809080667603977934951761723403814870218014732849968660124371811491949761017647433,
3522,C??,18.452884,Gapcoin,21-10-2014,83,77872759794202444850772118824801939588505210335897422218712195895904296500167057997,
3618,C??,18.934508,Gapcoin,21-10-2014,83,96572296121490108019453777835649812381740231465448235409618495867866285136931491741,
